Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Número de famílias extremamente pobres potenciais beneficiárias,Número de famílias extremamente pobres que receberam o benefício,Percentual de famílias extremamente pobres que receberam o benefício,Número de famílias pobres potenciais beneficiárias,Número de famílias pobres que receberam o benefício,Percentual de famílias pobres que receberam o benefício,Valor repassado aos beneficiários
São João Del Rei,3153806,Queluzito,7,7,1,9,1,0.1111111111111111,4,4,1,6,1,0.16666666666666666,1600
Metropolitana,3153905,Raposos,118,116,0.9830508474576272,79,25,0.31645569620253167,87,85,0.9770114942528736,58,19,0.3275862068965517,31700
Timóteo,3154002,Raul Soares,592,514,0.8682432432432432,157,33,0.21019108280254778,439,378,0.8610478359908884,123,27,0.21951219512195122,137700
Muriaé,3154101,Recreio,37,32,0.8648648648648649,69,1,0.014492753623188406,25,20,0.8,56,1,0.017857142857142856,7900
Muriaé,3154150,Reduto,219,167,0.7625570776255708,119,7,0.058823529411764705,152,114,0.75,88,6,0.06818181818181818,41550
São João Del Rei,3154200,Resende Costa,60,52,0.8666666666666667,52,32,0.6153846153846154,42,36,0.8571428571428571,36,22,0.6111111111111112,15900
Governador Valadares,3154309,Resplendor,165,140,0.8484848484848485,118,20,0.1694915254237288,138,117,0.8478260869565217,87,12,0.13793103448275862,36400
São João Del Rei,3154408,Ressaquinha,38,32,0.8421052631578947,11,8,0.7272727272727273,36,30,0.8333333333333334,10,7,0.7,9100
Paracatu,3154457,Riachinho,380,278,0.7315789473684211,41,8,0.1951219512195122,268,195,0.7276119402985075,24,5,0.20833333333333334,77100
Montes Claros,3154507,Riacho dos Machados,215,172,0.8,30,16,0.5333333333333333,155,118,0.7612903225806451,21,9,0.42857142857142855,48500
Metropolitana,3154606,Ribeirão das Neves,7073,6903,0.9759649370846882,2611,971,0.3718881654538491,4761,4640,0.9745851711825246,1691,584,0.34535777646363097,1981350
Varginha,3154705,Ribeirão Vermelho,91,87,0.9560439560439561,15,1,0.06666666666666667,62,59,0.9516129032258065,12,1,0.08333333333333333,23300
Metropolitana,3154804,Rio Acima,46,36,0.782608695652174,32,5,0.15625,36,30,0.8333333333333334,27,4,0.14814814814814814,9500
Timóteo,3154903,Rio Casca,123,108,0.8780487804878049,51,16,0.3137254901960784,97,86,0.8865979381443299,43,11,0.2558139534883721,29500
Timóteo,3155009,Rio Doce,32,30,0.9375,20,9,0.45,24,23,0.9583333333333334,13,6,0.46153846153846156,9500
Almenara,3155108,Rio do Prado,332,329,0.9909638554216867,21,16,0.7619047619047619,237,235,0.9915611814345991,12,9,0.75,96200
São João Del Rei,3155207,Rio Espera,308,267,0.8668831168831169,34,26,0.7647058823529411,219,187,0.8538812785388128,21,14,0.6666666666666666,78350
Metropolitana,3155306,Rio Manso,85,75,0.8823529411764706,52,2,0.038461538461538464,67,59,0.8805970149253731,43,2,0.046511627906976744,20700
Juiz de Fora,3155405,Rio Novo,193,168,0.8704663212435233,60,14,0.23333333333333334,134,114,0.8507462686567164,39,10,0.2564102564102564,48800
Patos de Minas,3155504,Rio Paranaíba,83,76,0.9156626506024096,76,9,0.11842105263157894,68,63,0.9264705882352942,60,8,0.13333333333333333,20100
Salinas,3155603,Rio Pardo de Minas,1532,1431,0.9340731070496083,94,44,0.46808510638297873,1184,1098,0.9273648648648649,60,24,0.4,404800
Timóteo,3155702,Rio Piracicaba,395,370,0.9367088607594937,41,9,0.21951219512195122,293,270,0.9215017064846417,24,4,0.16666666666666666,94350
Juiz de Fora,3155801,Rio Pomba,266,233,0.8759398496240601,84,21,0.25,186,161,0.8655913978494624,69,16,0.2318840579710145,63300
Juiz de Fora,3155900,Rio Preto,11,7,0.6363636363636364,1,0,0,10,6,0.6,1,0,0,1800
Diamantina,3156007,Rio Vermelho,601,584,0.9717138103161398,134,5,0.03731343283582089,393,380,0.9669211195928753,93,3,0.03225806451612903,158100
São João Del Rei,3156106,Ritápolis,64,61,0.953125,47,8,0.1702127659574468,55,53,0.9636363636363636,39,6,0.15384615384615385,16900
Juiz de Fora,3156205,Rochedo de Minas,33,33,1,7,0,0,30,30,1,6,0,0,8800
Juiz de Fora,3156304,Rodeiro,92,62,0.6739130434782609,52,2,0.038461538461538464,63,43,0.6825396825396826,35,2,0.05714285714285714,16300
Uberlândia,3156403,Romaria,53,43,0.8113207547169812,15,2,0.13333333333333333,39,32,0.8205128205128205,9,1,0.1111111111111111,11000
Muriaé,3156452,Rosário da Limeira,24,18,0.75,18,1,0.05555555555555555,23,17,0.7391304347826086,16,1,0.0625,4900
Salinas,3156502,Rubelita,601,600,0.9983361064891847,31,18,0.5806451612903226,405,404,0.9975308641975309,15,8,0.5333333333333333,174700
Almenara,3156601,Rubim,209,187,0.8947368421052632,14,4,0.2857142857142857,181,161,0.8895027624309392,12,4,0.3333333333333333,51300
Metropolitana,3156700,Sabará,1252,1130,0.902555910543131,618,182,0.29449838187702265,919,827,0.8998911860718172,453,132,0.2913907284768212,317700
Governador Valadares,3156809,Sabinópolis,654,631,0.9648318042813455,225,81,0.36,461,442,0.9587852494577006,136,42,0.3088235294117647,171600
Uberaba,3156908,Sacramento,259,209,0.806949806949807,143,37,0.25874125874125875,179,145,0.8100558659217877,92,22,0.2391304347826087,57600
Salinas,3157005,Salinas,1337,1217,0.9102468212415856,517,248,0.4796905222437137,911,821,0.9012074643249177,359,165,0.4596100278551532,371850
Almenara,3157104,Salto da Divisa,349,331,0.9484240687679083,36,18,0.5,247,232,0.9392712550607287,20,8,0.4,92200
Metropolitana,3157203,Santa Bárbara,490,437,0.8918367346938776,48,15,0.3125,405,359,0.8864197530864197,39,10,0.2564102564102564,111900
Timóteo,3157252,Santa Bárbara do Leste,361,266,0.7368421052631579,39,12,0.3076923076923077,279,198,0.7096774193548387,29,9,0.3103448275862069,73050
Juiz de Fora,3157278,Santa Bárbara do Monte Verde,3,2,0.6666666666666666,2,0,0,3,2,0.6666666666666666,2,0,0,500
São João Del Rei,3157302,Santa Bárbara do Tugúrio,32,20,0.625,18,8,0.4444444444444444,27,18,0.6666666666666666,17,7,0.4117647058823529,6300
São João Del Rei,3157336,Santa Cruz de Minas,39,36,0.9230769230769231,17,1,0.058823529411764705,36,33,0.9166666666666666,16,1,0.0625,8400
Salinas,3157377,Santa Cruz de Salinas,294,275,0.935374149659864,22,10,0.45454545454545453,206,189,0.9174757281553398,14,6,0.42857142857142855,82400
Timóteo,3157401,Santa Cruz do Escalvado,106,101,0.9528301886792453,41,17,0.4146341463414634,78,74,0.9487179487179487,27,9,0.3333333333333333,26850
Governador Valadares,3157500,Santa Efigênia de Minas,235,198,0.8425531914893617,28,13,0.4642857142857143,171,140,0.8187134502923976,15,5,0.3333333333333333,54700
Montes Claros,3157609,Santa Fé de Minas,261,210,0.8045977011494253,22,4,0.18181818181818182,181,142,0.7845303867403315,13,3,0.23076923076923078,60800
Teófilo Otoni,3157658,Santa Helena de Minas,605,595,0.9834710743801653,41,13,0.3170731707317073,366,357,0.9754098360655737,12,3,0.25,169300
Uberaba,3157708,Santa Juliana,37,28,0.7567567567567568,115,7,0.06086956521739131,30,24,0.8,83,5,0.060240963855421686,6800
Metropolitana,3157807,Santa Luzia,5182,4911,0.9477035893477422,630,218,0.346031746031746,3736,3524,0.943254817987152,423,132,0.3120567375886525,1365000
Muriaé,3157906,Santa Margarida,997,741,0.7432296890672017,220,104,0.4727272727272727,673,483,0.7176820208023774,145,64,0.4413793103448276,219400
Timóteo,3158003,Santa Maria de Itabira,124,105,0.8467741935483871,88,4,0.045454545454545456,78,64,0.8205128205128205,57,3,0.05263157894736842,28400
Almenara,3158102,Santa Maria do Salto,289,285,0.986159169550173,34,14,0.4117647058823529,214,211,0.985981308411215,17,5,0.29411764705882354,77500
Governador Valadares,3158201,Santa Maria do Suaçuí,933,829,0.8885316184351554,144,74,0.5138888888888888,621,546,0.8792270531400966,72,34,0.4722222222222222,243300
Varginha,3158300,Santana da Vargem,144,138,0.9583333333333334,40,13,0.325,101,96,0.9504950495049505,28,10,0.35714285714285715,35700
Muriaé,3158409,Santana de Cataguases,34,33,0.9705882352941176,6,0,0,30,29,0.9666666666666667,6,0,0,8800
Curvelo,3158508,Santana de Pirapama,147,146,0.9931972789115646,80,11,0.1375,112,111,0.9910714285714286,59,7,0.11864406779661017,35700
Juiz de Fora,3158607,Santana do Deserto,4,4,1,3,0,0,4,4,1,3,0,0,1100
São João Del Rei,3158706,Santana do Garambéu,53,52,0.9811320754716981,10,6,0.6,49,48,0.9795918367346939,8,5,0.625,15700
Divinópolis,3158805,Santana do Jacaré,57,54,0.9473684210526315,46,7,0.15217391304347827,45,44,0.9777777777777777,36,5,0.1388888888888889,16400
Governador Valadares,3158904,Santana do Manhuaçu,189,122,0.6455026455026455,69,9,0.13043478260869565,139,84,0.60431654676259,65,9,0.13846153846153847,29100
Timóteo,3158953,Santana do Paraíso,646,630,0.9752321981424149,133,36,0.2706766917293233,509,496,0.9744597249508841,108,29,0.26851851851851855,178500
Metropolitana,3159001,Santana do Riacho,162,124,0.7654320987654321,27,6,0.2222222222222222,119,87,0.7310924369747899,16,2,0.125,33000
São João Del Rei,3159100,Santana dos Montes,67,53,0.7910447761194029,16,4,0.25,51,39,0.7647058823529411,13,3,0.23076923076923078,14700
Poços de Caldas,3159209,Santa Rita de Caldas,92,76,0.8260869565217391,67,17,0.2537313432835821,67,55,0.8208955223880597,51,15,0.29411764705882354,21350
Juiz de Fora,3159308,Santa Rita de Jacutinga,23,17,0.7391304347826086,11,0,0,22,16,0.7272727272727273,9,0,0,4400
Timóteo,3159357,Santa Rita de Minas,90,73,0.8111111111111111,51,11,0.21568627450980393,68,56,0.8235294117647058,36,8,0.2222222222222222,19400
São João Del Rei,3159407,Santa Rita de Ibitipoca,81,81,1,14,11,0.7857142857142857,69,69,1,10,8,0.8,24000
Governador Valadares,3159506,Santa Rita do Itueto,237,213,0.8987341772151899,27,11,0.4074074074074074,178,161,0.9044943820224719,18,6,0.3333333333333333,52800
Poços de Caldas,3159605,Santa Rita do Sapucaí,25,17,0.68,353,92,0.26062322946175637,21,13,0.6190476190476191,224,47,0.20982142857142858,13300
Patos de Minas,3159704,Santa Rosa da Serra,126,126,1,20,6,0.3,98,98,1,14,3,0.21428571428571427,30600
Ituiutaba,3159803,Santa Vitória,194,148,0.7628865979381443,124,12,0.0967741935483871,149,116,0.7785234899328859,88,8,0.09090909090909091,39550
Divinópolis,3159902,Santo Antônio do Amparo,735,692,0.9414965986394558,138,41,0.2971014492753623,567,539,0.9506172839506173,92,27,0.29347826086956524,181450
Juiz de Fora,3160009,Santo Antônio do Aventureiro,57,52,0.9122807017543859,19,7,0.3684210526315789,43,40,0.9302325581395349,16,5,0.3125,16000
Timóteo,3160108,Santo Antônio do Grama,130,127,0.9769230769230769,17,11,0.6470588235294118,98,96,0.9795918367346939,13,7,0.5384615384615384,32200
Diamantina,3160207,Santo Antônio do Itambé,211,136,0.6445497630331753,45,3,0.06666666666666667,147,95,0.6462585034013606,25,2,0.08,37950
Almenara,3160306,Santo Antônio do Jacinto,521,508,0.9750479846449136,97,26,0.26804123711340205,389,379,0.974293059125964,68,18,0.2647058823529412,136900
Divinópolis,3160405,Santo Antônio do Monte,107,104,0.9719626168224299,125,17,0.136,75,72,0.96,83,10,0.12048192771084337,30400
Montes Claros,3160454,Santo Antônio do Retiro,449,437,0.9732739420935412,10,2,0.2,365,353,0.9671232876712329,8,2,0.25,115500
Timóteo,3160504,Santo Antônio do Rio Abaixo,86,86,1,34,28,0.8235294117647058,61,61,1,18,15,0.8333333333333334,28700
Curvelo,3160603,Santo Hipólito,154,151,0.9805194805194806,12,6,0.5,103,100,0.970873786407767,7,2,0.2857142857142857,40200
Juiz de Fora,3160702,Santos Dumont,866,791,0.9133949191685913,322,113,0.35093167701863354,615,560,0.9105691056910569,225,64,0.28444444444444444,219400
Varginha,3160801,São Bento Abade,45,45,1,47,22,0.46808510638297873,27,27,1,39,17,0.4358974358974359,14200
São João Del Rei,3160900,São Brás do Suaçuí,8,8,1,6,3,0.5,8,8,1,6,3,0.5,2300
Timóteo,3160959,São Domingos das Dores,100,87,0.87,75,11,0.14666666666666667,74,64,0.8648648648648649,67,9,0.13432835820895522,22100
Timóteo,3161007,São Domingos do Prata,302,270,0.8940397350993378,182,24,0.13186813186813187,206,183,0.8883495145631068,126,17,0.1349206349206349,66850
Governador Valadares,3161056,São Félix de Minas,157,137,0.8726114649681529,14,0,0,119,104,0.8739495798319328,11,0,0,33500
Montes Claros,3161106,São Francisco,3968,3559,0.8969254032258065,479,246,0.5135699373695198,2530,2229,0.8810276679841897,251,123,0.4900398406374502,1050700
Divinópolis,3161205,São Francisco de Paula,70,49,0.7,48,1,0.020833333333333332,51,38,0.7450980392156863,39,1,0.02564102564102564,12000
Ituiutaba,3161304,São Francisco de Sales,32,23,0.71875,8,0,0,28,21,0.75,7,0,0,5800
Muriaé,3161403,São Francisco do Glória,147,133,0.9047619047619048,40,3,0.075,114,102,0.8947368421052632,32,2,0.0625,39000
Muriaé,3161502,São Geraldo,179,122,0.6815642458100558,72,7,0.09722222222222222,136,90,0.6617647058823529,57,6,0.10526315789473684,30100
Governador Valadares,3161601,São Geraldo da Piedade,169,160,0.9467455621301775,11,1,0.09090909090909091,136,128,0.9411764705882353,6,1,0.16666666666666666,41500
Governador Valadares,3161650,São Geraldo do Baixio,116,97,0.8362068965517241,40,5,0.125,91,78,0.8571428571428571,29,4,0.13793103448275862,25600
Patos de Minas,3161700,São Gonçalo do Abaeté,163,151,0.9263803680981595,19,3,0.15789473684210525,119,111,0.9327731092436975,16,1,0.0625,40650
Divinópolis,3161809,São Gonçalo do Pará,55,46,0.8363636363636363,64,9,0.140625,37,29,0.7837837837837838,46,6,0.13043478260869565,13100
Timóteo,3161908,São Gonçalo do Rio Abaixo,101,89,0.8811881188118812,50,8,0.16,86,77,0.8953488372093024,44,7,0.1590909090909091,21450
Varginha,3162005,São Gonçalo do Sapucaí,224,207,0.9241071428571429,291,47,0.16151202749140894,143,133,0.9300699300699301,197,28,0.14213197969543148,55150
Patos de Minas,3162104,São Gotardo,57,53,0.9298245614035088,468,42,0.08974358974358974,38,34,0.8947368421052632,318,29,0.09119496855345911,16500
Passos,3162203,São João Batista do Glória,25,22,0.88,38,22,0.5789473684210527,16,13,0.8125,29,17,0.5862068965517241,8500
Montes Claros,3162252,São João da Lagoa,223,201,0.9013452914798207,34,19,0.5588235294117647,171,154,0.9005847953216374,22,14,0.6363636363636364,58600
Varginha,3162302,São João da Mata,66,53,0.803030303030303,8,3,0.375,53,43,0.8113207547169812,6,1,0.16666666666666666,13200
Montes Claros,3162401,São João da Ponte,1039,954,0.9181905678537055,127,66,0.5196850393700787,791,715,0.9039190897597977,87,41,0.47126436781609193,277150
Montes Claros,3162450,São João das Missões,1367,1331,0.9736649597659107,243,91,0.37448559670781895,737,708,0.9606512890094979,83,27,0.3253012048192771,382800
