Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Número de famílias extremamente pobres potenciais beneficiárias,Número de famílias extremamente pobres que receberam o benefício,Percentual de famílias extremamente pobres que receberam o benefício,Número de famílias pobres potenciais beneficiárias,Número de famílias pobres que receberam o benefício,Percentual de famílias pobres que receberam o benefício,Valor repassado aos beneficiários
São João Del Rei,3162500,São João del Rei,903,816,0.9036544850498339,585,123,0.21025641025641026,633,572,0.9036334913112164,427,84,0.19672131147540983,225950
Muriaé,3162559,São João do Manhuaçu,418,327,0.7822966507177034,37,10,0.2702702702702703,321,242,0.7538940809968847,28,6,0.21428571428571427,88300
Governador Valadares,3162575,São João do Manteninha,114,86,0.7543859649122807,23,3,0.13043478260869565,92,68,0.7391304347826086,19,3,0.15789473684210525,23300
Timóteo,3162609,São João do Oriente,366,343,0.9371584699453552,43,14,0.32558139534883723,277,261,0.9422382671480144,32,11,0.34375,98000
Montes Claros,3162658,São João do Pacuí,287,283,0.9860627177700348,25,12,0.48,193,189,0.9792746113989638,10,5,0.5,83400
Salinas,3162708,São João do Paraíso,813,802,0.986469864698647,312,125,0.40064102564102566,570,561,0.9842105263157894,212,79,0.37264150943396224,225100
Governador Valadares,3162807,São João Evangelista,621,578,0.9307568438003221,142,29,0.20422535211267606,425,390,0.9176470588235294,106,19,0.1792452830188679,145900
Juiz de Fora,3162906,São João Nepomuceno,357,329,0.9215686274509803,110,31,0.2818181818181818,261,241,0.9233716475095786,72,18,0.25,87050
Metropolitana,3162922,São Joaquim de Bicas,749,650,0.8678237650200267,193,59,0.30569948186528495,530,456,0.8603773584905661,130,36,0.27692307692307694,187150
Passos,3162948,São José da Barra,60,48,0.8,45,17,0.37777777777777777,43,32,0.7441860465116279,32,11,0.34375,14500
Metropolitana,3162955,São José da Lapa,368,354,0.9619565217391305,51,8,0.1568627450980392,299,285,0.9531772575250836,37,7,0.1891891891891892,92700
Governador Valadares,3163003,São José da Safira,283,274,0.9681978798586572,22,8,0.36363636363636365,207,200,0.966183574879227,15,5,0.3333333333333333,79000
Metropolitana,3163102,São José da Varginha,18,18,1,63,11,0.1746031746031746,14,14,1,40,6,0.15,6100
Poços de Caldas,3163201,São José do Alegre,67,60,0.8955223880597015,16,3,0.1875,47,42,0.8936170212765957,13,2,0.15384615384615385,17100
Governador Valadares,3163300,São José do Divino,252,249,0.9880952380952381,21,4,0.19047619047619047,171,169,0.9883040935672515,15,2,0.13333333333333333,65800
Timóteo,3163409,São José do Goiabal,182,170,0.9340659340659341,52,19,0.36538461538461536,140,129,0.9214285714285714,31,12,0.3870967741935484,46150
Governador Valadares,3163508,São José do Jacuri,440,426,0.9681818181818181,67,41,0.6119402985074627,294,285,0.9693877551020408,40,19,0.475,118550
Governador Valadares,3163607,São José do Mantimento,104,103,0.9903846153846154,18,0,0,81,80,0.9876543209876543,12,0,0,24200
Varginha,3163706,São Lourenço,309,297,0.9611650485436893,241,56,0.23236514522821577,218,209,0.9587155963302753,183,35,0.1912568306010929,79900
Muriaé,3163805,São Miguel do Anta,326,313,0.9601226993865031,12,7,0.5833333333333334,262,251,0.9580152671755725,9,5,0.5555555555555556,83000
Passos,3163904,São Pedro da União,34,34,1,95,74,0.7789473684210526,27,27,1,76,59,0.7763157894736842,17600
Timóteo,3164001,São Pedro dos Ferros,109,106,0.9724770642201835,54,33,0.6111111111111112,80,78,0.975,40,23,0.575,33550
Governador Valadares,3164100,São Pedro do Suaçuí,347,280,0.8069164265129684,26,6,0.23076923076923078,250,197,0.788,19,4,0.21052631578947367,77700
Montes Claros,3164209,São Romão,604,574,0.9503311258278145,31,23,0.7419354838709677,413,393,0.9515738498789347,18,14,0.7777777777777778,160100
Passos,3164308,São Roque de Minas,52,45,0.8653846153846154,42,16,0.38095238095238093,38,33,0.868421052631579,33,12,0.36363636363636365,14300
Varginha,3164407,São Sebastião da Bela Vista,37,35,0.9459459459459459,70,54,0.7714285714285715,26,24,0.9230769230769231,48,36,0.75,15800
Muriaé,3164431,São Sebastião da Vargem Alegre,10,5,0.5,16,0,0,10,5,0.5,16,0,0,1500
Timóteo,3164472,São Sebastião do Anta,248,201,0.8104838709677419,12,6,0.5,212,174,0.8207547169811321,10,4,0.4,53100
Governador Valadares,3164506,São Sebastião do Maranhão,664,579,0.8719879518072289,187,51,0.2727272727272727,420,358,0.8523809523809524,106,27,0.25471698113207547,171700
Divinópolis,3164605,São Sebastião do Oeste,35,27,0.7714285714285715,25,8,0.32,32,24,0.75,22,7,0.3181818181818182,8100
Passos,3164704,São Sebastião do Paraíso,701,679,0.9686162624821684,441,271,0.6145124716553289,470,454,0.9659574468085106,258,146,0.5658914728682171,208650
Timóteo,3164803,São Sebastião do Rio Preto,37,36,0.972972972972973,14,11,0.7857142857142857,26,25,0.9615384615384616,12,9,0.75,11500
Varginha,3164902,São Sebastião do Rio Verde,4,4,1,4,0,0,4,4,1,4,0,0,800
São João Del Rei,3165008,São Tiago,86,84,0.9767441860465116,122,97,0.7950819672131147,55,53,0.9636363636363636,67,56,0.835820895522388,33400
Passos,3165107,São Tomás de Aquino,138,133,0.9637681159420289,68,39,0.5735294117647058,106,101,0.9528301886792453,42,21,0.5,38500
Varginha,3165206,São Thomé das Letras,138,130,0.9420289855072463,48,31,0.6458333333333334,99,92,0.9292929292929293,36,21,0.5833333333333334,39700
São João Del Rei,3165305,São Vicente de Minas,118,107,0.9067796610169492,58,1,0.017241379310344827,87,80,0.9195402298850575,42,1,0.023809523809523808,24800
Poços de Caldas,3165404,Sapucaí Mirim,83,77,0.927710843373494,30,6,0.2,64,60,0.9375,24,4,0.16666666666666666,20900
Governador Valadares,3165503,Sardoá,249,208,0.8353413654618473,18,4,0.2222222222222222,198,161,0.8131313131313131,12,3,0.25,53950
Metropolitana,3165537,Sarzedo,308,291,0.9448051948051948,205,49,0.23902439024390243,231,221,0.9567099567099567,144,34,0.2361111111111111,82100
Teófilo Otoni,3165552,Setubinha,1665,1641,0.9855855855855856,110,27,0.24545454545454545,830,814,0.980722891566265,44,13,0.29545454545454547,474400
Timóteo,3165560,Sem-Peixe,77,75,0.974025974025974,12,3,0.25,58,56,0.9655172413793104,9,1,0.1111111111111111,19100
Poços de Caldas,3165578,Senador Amaral,108,72,0.6666666666666666,125,18,0.144,80,51,0.6375,89,10,0.11235955056179775,21100
Juiz de Fora,3165602,Senador Cortês,5,3,0.6,11,1,0.09090909090909091,5,3,0.6,10,1,0.1,700
Juiz de Fora,3165701,Senador Firmino,178,149,0.8370786516853933,106,8,0.07547169811320754,138,115,0.8333333333333334,85,5,0.058823529411764705,37750
Poços de Caldas,3165800,Senador José Bento,11,6,0.5454545454545454,4,0,0,10,6,0.6,4,0,0,1800
Diamantina,3165909,Senador Modestino Gonçalves,96,96,1,26,2,0.07692307692307693,77,77,1,25,2,0.08,23800
São João Del Rei,3166006,Senhora de Oliveira,208,208,1,68,56,0.8235294117647058,152,152,1,58,48,0.8275862068965517,65200
Governador Valadares,3166105,Senhora do Porto,155,150,0.967741935483871,37,20,0.5405405405405406,102,98,0.9607843137254902,21,12,0.5714285714285714,41950
São João Del Rei,3166204,Senhora dos Remédios,746,667,0.8941018766756033,42,14,0.3333333333333333,535,467,0.8728971962616823,30,8,0.26666666666666666,189050
Muriaé,3166303,Sericita,268,251,0.9365671641791045,99,4,0.04040404040404041,203,189,0.9310344827586207,85,4,0.047058823529411764,67100
Juiz de Fora,3166402,Seritinga,1,1,1,2,0,0,1,1,1,2,0,0,200
Diamantina,3166501,Serra Azul de Minas,396,382,0.9646464646464646,65,29,0.4461538461538462,229,219,0.9563318777292577,35,15,0.42857142857142855,112500
Teófilo Otoni,3166709,Serra dos Aimorés,203,202,0.9950738916256158,154,41,0.2662337662337662,130,129,0.9923076923076923,107,27,0.2523364485981308,60500
Patos de Minas,3166808,Serra do Salitre,486,449,0.9238683127572016,35,4,0.11428571428571428,371,342,0.921832884097035,26,2,0.07692307692307693,115200
Poços de Caldas,3166907,Serrania,175,167,0.9542857142857143,76,15,0.19736842105263158,134,127,0.9477611940298507,55,12,0.21818181818181817,43600
Montes Claros,3166956,Serranópolis de Minas,225,200,0.8888888888888888,21,18,0.8571428571428571,167,142,0.8502994011976048,12,9,0.75,59700
Juiz de Fora,3167004,Serranos,31,27,0.8709677419354839,1,0,0,29,25,0.8620689655172413,1,0,0,6900
Diamantina,3167103,Serro,807,716,0.8872366790582404,399,134,0.3358395989974937,445,387,0.8696629213483146,220,67,0.30454545454545456,206000
Metropolitana,3167202,Sete Lagoas,2135,2082,0.9751756440281031,992,316,0.3185483870967742,1518,1480,0.9749670619235836,716,205,0.28631284916201116,595400
Juiz de Fora,3167301,Silveirânia,43,43,1,18,8,0.4444444444444444,37,37,1,13,5,0.38461538461538464,12800
Varginha,3167400,Silvianópolis,164,121,0.7378048780487805,25,6,0.24,120,86,0.7166666666666667,17,4,0.23529411764705882,32300
Juiz de Fora,3167509,Simão Pereira,13,7,0.5384615384615384,7,0,0,9,5,0.5555555555555556,6,0,0,1600
Timóteo,3167608,Simonésia,264,172,0.6515151515151515,547,60,0.10968921389396709,181,115,0.6353591160220995,389,39,0.10025706940874037,48600
Governador Valadares,3167707,Sobrália,260,255,0.9807692307692307,10,1,0.1,210,205,0.9761904761904762,6,1,0.16666666666666666,69000
Varginha,3167806,Soledade de Minas,16,15,0.9375,62,22,0.3548387096774194,14,13,0.9285714285714286,45,16,0.35555555555555557,5700
Juiz de Fora,3167905,Tabuleiro,39,34,0.8717948717948718,41,13,0.3170731707317073,31,26,0.8387096774193549,30,9,0.3,10800
Salinas,3168002,Taiobeiras,1159,1062,0.9163071613459879,252,113,0.44841269841269843,833,758,0.9099639855942377,175,74,0.4228571428571429,314850
Governador Valadares,3168051,Taparuba,150,110,0.7333333333333333,13,1,0.07692307692307693,126,94,0.746031746031746,11,1,0.09090909090909091,28800
Uberaba,3168101,Tapira,11,9,0.8181818181818182,6,2,0.3333333333333333,11,9,0.8181818181818182,6,2,0.3333333333333333,2500
Divinópolis,3168200,Tapiraí,3,3,1,3,0,0,2,2,1,3,0,0,900
Metropolitana,3168309,Taquaraçu de Minas,62,55,0.8870967741935484,9,1,0.1111111111111111,55,48,0.8727272727272727,8,1,0.125,15100
Governador Valadares,3168408,Tarumirim,625,604,0.9664,144,39,0.2708333333333333,442,427,0.9660633484162896,97,25,0.25773195876288657,155800
Muriaé,3168507,Teixeiras,226,211,0.9336283185840708,83,14,0.1686746987951807,163,152,0.9325153374233128,64,10,0.15625,63900
Teófilo Otoni,3168606,Teófilo Otoni,3440,3087,0.8973837209302326,1428,480,0.33613445378151263,2091,1868,0.893352462936394,876,265,0.3025114155251142,882450
Timóteo,3168705,Timóteo,724,690,0.9530386740331491,353,127,0.3597733711048159,541,512,0.9463955637707948,237,75,0.31645569620253167,193750
São João Del Rei,3168804,Tiradentes,120,106,0.8833333333333333,41,2,0.04878048780487805,89,77,0.8651685393258427,34,2,0.058823529411764705,25400
Patos de Minas,3168903,Tiros,95,75,0.7894736842105263,42,2,0.047619047619047616,72,54,0.75,32,1,0.03125,19000
Juiz de Fora,3169000,Tocantins,217,158,0.728110599078341,164,24,0.14634146341463414,159,109,0.6855345911949685,113,15,0.13274336283185842,43000
Poços de Caldas,3169059,Tocos do Moji,28,20,0.7142857142857143,18,2,0.1111111111111111,24,17,0.7083333333333334,16,1,0.0625,3900
Poços de Caldas,3169109,Toledo,14,4,0.2857142857142857,46,0,0,11,4,0.36363636363636365,32,0,0,1000
Muriaé,3169208,Tombos,175,160,0.9142857142857143,90,10,0.1111111111111111,130,120,0.9230769230769231,65,6,0.09230769230769231,42400
Varginha,3169307,Três Corações,504,486,0.9642857142857143,524,165,0.3148854961832061,354,339,0.9576271186440678,391,119,0.30434782608695654,139900
Curvelo,3169356,Três Marias,236,225,0.9533898305084746,120,57,0.475,188,178,0.9468085106382979,91,41,0.45054945054945056,69000
Varginha,3169406,Três Pontas,799,761,0.9524405506883604,370,105,0.28378378378378377,603,570,0.945273631840796,264,67,0.2537878787878788,219200
Governador Valadares,3169505,Tumiritinga,401,387,0.9650872817955112,20,9,0.45,292,280,0.958904109589041,17,7,0.4117647058823529,101800
Uberlândia,3169604,Tupaciguara,847,810,0.9563164108618654,172,43,0.25,596,569,0.9546979865771812,115,26,0.22608695652173913,212400
Araçuaí,3169703,Turmalina,683,668,0.9780380673499268,294,96,0.32653061224489793,483,475,0.9834368530020704,199,64,0.32160804020100503,195600
Varginha,3169802,Turvolândia,29,27,0.9310344827586207,94,11,0.11702127659574468,23,21,0.9130434782608695,64,6,0.09375,7000
Juiz de Fora,3169901,Ubá,441,394,0.8934240362811792,996,164,0.1646586345381526,286,259,0.9055944055944056,668,96,0.1437125748502994,118300
Montes Claros,3170008,Ubaí,1094,970,0.886654478976234,93,39,0.41935483870967744,722,628,0.8698060941828255,49,23,0.46938775510204084,286400
Timóteo,3170057,Ubaporanga,561,498,0.8877005347593583,145,39,0.2689655172413793,395,343,0.8683544303797468,114,29,0.2543859649122807,141800
Uberaba,3170107,Uberaba,1278,1220,0.9546165884194053,824,306,0.3713592233009709,906,864,0.9536423841059603,563,186,0.33037300177619894,349800
Uberlândia,3170206,Uberlândia,2405,2243,0.9326403326403326,1732,545,0.3146651270207852,1708,1574,0.9215456674473068,1215,348,0.28641975308641976,641900
Teófilo Otoni,3170305,Umburatiba,144,142,0.9861111111111112,6,4,0.6666666666666666,108,106,0.9814814814814815,3,2,0.6666666666666666,41000
Paracatu,3170404,Unaí,909,780,0.858085808580858,658,159,0.24164133738601823,653,550,0.8422664624808576,476,96,0.20168067226890757,228550
Ituiutaba,3170438,União de Minas,132,125,0.946969696969697,23,14,0.6086956521739131,103,98,0.9514563106796117,15,10,0.6666666666666666,37600
Paracatu,3170479,Uruana de Minas,43,28,0.6511627906976745,10,0,0,40,25,0.625,10,0,0,7400
Timóteo,3170503,Urucânia,135,116,0.8592592592592593,56,15,0.26785714285714285,96,83,0.8645833333333334,38,10,0.2631578947368421,31500
Montes Claros,3170529,Urucuia,211,203,0.9620853080568721,60,15,0.25,174,167,0.9597701149425287,48,10,0.20833333333333334,49700
Timóteo,3170578,Vargem Alegre,202,199,0.9851485148514851,21,5,0.23809523809523808,160,157,0.98125,14,4,0.2857142857142857,55800
Passos,3170602,Vargem Bonita,46,39,0.8478260869565217,15,7,0.4666666666666667,35,31,0.8857142857142857,11,5,0.45454545454545453,11100
Salinas,3170651,Vargem Grande do Rio Pardo,224,213,0.9508928571428571,27,5,0.18518518518518517,162,151,0.9320987654320988,17,4,0.23529411764705882,61600
Varginha,3170701,Varginha,529,508,0.9603024574669187,438,112,0.2557077625570776,347,330,0.9510086455331412,305,78,0.25573770491803277,143150
Patos de Minas,3170750,Varjão de Minas,69,63,0.9130434782608695,49,10,0.20408163265306123,54,49,0.9074074074074074,32,4,0.125,16950
Montes Claros,3170800,Várzea da Palma,494,470,0.951417004048583,545,137,0.25137614678899084,365,346,0.947945205479452,412,98,0.23786407766990292,134400
Montes Claros,3170909,Varzelândia,1712,1585,0.9258177570093458,165,55,0.3333333333333333,1048,950,0.9064885496183206,91,30,0.32967032967032966,461500
Paracatu,3171006,Vazante,279,249,0.8924731182795699,200,40,0.2,199,173,0.8693467336683417,130,22,0.16923076923076924,66200
Montes Claros,3171030,Verdelândia,625,514,0.8224,82,21,0.25609756097560976,412,329,0.7985436893203883,40,8,0.2,155200
Diamantina,3171071,Veredinha,213,196,0.92018779342723,39,12,0.3076923076923077,166,151,0.9096385542168675,28,8,0.2857142857142857,58100
Uberaba,3171105,Veríssimo,37,36,0.972972972972973,16,9,0.5625,27,26,0.9629629629629629,12,6,0.5,10500
Timóteo,3171154,Vermelho Novo,241,186,0.7717842323651453,14,0,0,189,142,0.7513227513227513,12,0,0,44800
Metropolitana,3171204,Vespasiano,1248,1207,0.9671474358974359,293,88,0.3003412969283277,970,938,0.9670103092783505,224,61,0.27232142857142855,322550
Muriaé,3171303,Viçosa,575,502,0.8730434782608696,406,115,0.2832512315270936,438,377,0.860730593607306,296,82,0.27702702702702703,142700
Muriaé,3171402,Vieiras,18,7,0.3888888888888889,4,1,0.25,18,7,0.3888888888888889,4,1,0.25,1600
Governador Valadares,3171501,Mathias Lobato,250,227,0.908,23,11,0.4782608695652174,174,158,0.9080459770114943,14,6,0.42857142857142855,62000
Araçuaí,3171600,Virgem da Lapa,611,506,0.8281505728314239,99,40,0.40404040404040403,429,352,0.8205128205128205,52,22,0.4230769230769231,150400
Varginha,3171709,Virgínia,151,122,0.8079470198675497,77,25,0.3246753246753247,114,91,0.7982456140350878,57,16,0.2807017543859649,31700
Governador Valadares,3171808,Virginópolis,127,91,0.7165354330708661,108,11,0.10185185185185185,90,62,0.6888888888888889,83,7,0.08433734939759036,27300
Governador Valadares,3171907,Virgolândia,233,232,0.9957081545064378,49,17,0.3469387755102041,174,173,0.9942528735632183,36,13,0.3611111111111111,66100
Muriaé,3172004,Visconde do Rio Branco,262,206,0.7862595419847328,450,63,0.14,198,157,0.7929292929292929,339,47,0.13864306784660768,61150
Muriaé,3172103,Volta Grande,81,78,0.9629629629629629,5,1,0.2,76,73,0.9605263157894737,5,1,0.2,19400
Poços de Caldas,3172202,Wenceslau Braz,42,35,0.8333333333333334,32,1,0.03125,29,24,0.8275862068965517,23,1,0.043478260869565216,9000
