Código.IBGE,municipio,Diretoria.Regional,Mesorregião,n_alunos_beneficiarios_atualmente,n_familias_beneficiarias_atualmente,n_alunos_receberam_lista_atual,n_alunos_receberam_incluindo_bloqueados,n_familias_receberam_lista_atual,n_familias_receberam_incluindo_bloqueados,n_familias_atuais_receberam_parcialmente,n_alunos_atuais_receberam_parcialmente,n_familias_atuais_receberam_tudo,n_alunos_atuais_receberam_tudo,n_familias_atuais_receberam_a_mais,n_alunos_atuais_receberam_a_mais,perc_alunos_receberam_lista_atual,perc_familias_receberam_lista_atual,total_dinheiro_lista_atual,total_dinheiro
3103603,ARANTINA,Juiz de Fora,Sul/Sudoeste de Minas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103702,ARAPONGA,Muriaé,Zona da Mata,122,93,20,20,14,14,0,0,14,20,0,0,0.16393442622950818,0.15053763440860216,2000,2000
3103751,ARAPORA,Uberlândia,Triângulo Mineiro/Alto Paranaíba,6,6,1,1,1,1,0,0,1,1,0,0,0.16666666666666666,0.16666666666666666,100,100
3103801,ARAPUA,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103900,ARAUJOS,Divinópolis,Central Mineira,30,23,2,2,1,1,0,0,1,2,0,0,0.06666666666666667,0.043478260869565216,200,200
3104007,ARAXA,Uberaba,Triângulo Mineiro/Alto Paranaíba,308,209,122,122,77,77,0,0,77,122,0,0,0.3961038961038961,0.3684210526315789,12200,12200
3104106,ARCEBURGO,Poços de Caldas,Sul/Sudoeste de Minas,36,22,5,5,3,3,0,0,3,5,0,0,0.1388888888888889,0.13636363636363635,500,500
3104205,ARCOS,Divinópolis,Oeste de Minas,133,102,22,22,15,15,0,0,15,22,0,0,0.16541353383458646,0.14705882352941177,2200,2200
3104304,AREADO,Varginha,Sul/Sudoeste de Minas,114,85,27,27,16,16,0,0,16,27,0,0,0.23684210526315788,0.18823529411764706,2700,2700
3104403,ARGIRITA,Juiz de Fora,Zona da Mata,6,5,3,3,2,2,0,0,2,3,0,0,0.5,0.4,300,300
3104452,ARICANDUVA,Diamantina,Jequitinhonha,45,26,16,16,7,7,0,0,7,16,0,0,0.35555555555555557,0.2692307692307692,1600,1600
3104502,ARINOS,Paracatu,Noroeste de Minas,105,59,51,51,23,23,0,0,23,51,0,0,0.4857142857142857,0.3898305084745763,5100,5100
3104601,ASTOLFO DUTRA,Juiz de Fora,Zona da Mata,68,54,4,4,3,3,0,0,3,4,0,0,0.058823529411764705,0.05555555555555555,400,400
3104700,ATALEIA,Teófilo Otoni,Vale do Mucuri,101,64,26,26,19,19,0,0,19,26,0,0,0.25742574257425743,0.296875,2600,2600
3104809,AUGUSTO DE LIMA,Curvelo,Central Mineira,23,19,7,7,5,5,0,0,5,7,0,0,0.30434782608695654,0.2631578947368421,700,700
3104908,BAEPENDI,Varginha,Sul/Sudoeste de Minas,100,74,25,25,19,19,0,0,19,25,0,0,0.25,0.25675675675675674,2500,2500
3105004,BALDIM,Metropolitana,Metropolitana de Belo Horizonte,67,53,16,16,11,11,0,0,11,16,0,0,0.23880597014925373,0.20754716981132076,1600,1600
3105103,BAMBUI,Divinópolis,Oeste de Minas,117,86,25,25,15,15,0,0,15,25,0,0,0.21367521367521367,0.1744186046511628,2500,2500
3105202,BANDEIRA,Almenara,Jequitinhonha,57,38,23,23,11,11,0,0,11,23,0,0,0.40350877192982454,0.2894736842105263,2300,2300
3105301,BANDEIRA DO SUL,Poços de Caldas,Sul/Sudoeste de Minas,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3105400,BARAO DE COCAIS,Metropolitana,Metropolitana de Belo Horizonte,190,145,42,42,28,28,0,0,28,42,0,0,0.22105263157894736,0.19310344827586207,4200,4200
3105509,BARAO DE MONTE ALTO,Muriaé,Zona da Mata,35,22,16,16,8,8,0,0,8,16,0,0,0.45714285714285713,0.36363636363636365,1600,1600
3105608,BARBACENA,São João Del Rei,Campo das Vertentes,636,451,125,125,81,81,1,2,80,123,0,0,0.19654088050314467,0.17960088691796008,12400,12400
3105707,BARRA LONGA,Timóteo,Zona da Mata,35,20,12,12,6,6,0,0,6,12,0,0,0.34285714285714286,0.3,1200,1200
3105905,BARROSO,São João Del Rei,Campo das Vertentes,87,66,22,22,14,14,0,0,14,22,0,0,0.25287356321839083,0.21212121212121213,2200,2200
3106002,BELA VISTA DE MINAS,Timóteo,Metropolitana de Belo Horizonte,53,37,15,15,9,9,0,0,9,15,0,0,0.2830188679245283,0.24324324324324326,1500,1500
3106101,BELMIRO BRAGA,Juiz de Fora,Zona da Mata,30,21,8,8,6,6,0,0,6,8,0,0,0.26666666666666666,0.2857142857142857,800,800
3106200,BELO HORIZONTE,Metropolitana,Metropolitana de Belo Horizonte,6587,4664,2109,2109,1405,1405,3,7,1402,2102,0,0,0.3201761044481555,0.3012435677530017,210600,210600
3106309,BELO ORIENTE,Timóteo,Vale do Rio Doce,65,54,21,21,15,15,1,3,14,18,0,0,0.3230769230769231,0.2777777777777778,2000,2000
3106408,BELO VALE,Metropolitana,Metropolitana de Belo Horizonte,84,69,12,12,9,9,0,0,9,12,0,0,0.14285714285714285,0.13043478260869565,1200,1200
