Código IBGE,Município,Diretoria Regional,Mesorregião,Número de alunos extremamente pobres beneficiários atualmente,Número de famílias extremamente pobres beneficiárias atualmente,Número de alunos extremamente pobres da lista atual que receberam o benefício,"Número de alunos extremamente pobres que receberam o benefício, incluindo os alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício,"Número de famílias extremamente pobres que receberam o benefício, incluindo as famílias que têm alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício parcialmente,Número de alunos extremamente pobres da lista atual que receberam o benefício parcialmente,Número de famílias extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de alunos extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de famílias extremamente pobres da lista atual que receberam mais que o valor do benefício,Número de alunos extremamente pobres da lista atual que receberam mais que o valor do benefício,Percentual de alunos extremamente pobres da lista atual que receberam o benefício,Percentual de famílias extremamente pobres da lista atual que receberam o benefício,Total de dinheiro repassado aos beneficiários da lista atual de extremamente pobres,"Total de dinheiro repassado aos beneficiários extremamente pobres, incluindo os bloqueados"
3159803,SANTA VITORIA,Ituiutaba,Triângulo Mineiro/Alto Paranaíba,194,149,148,154,116,118,50,61,65,85,1,2,0.7628865979381443,0.7785234899328859,38350,38550
3159902,SANTO ANTONIO DO AMPARO,Divinópolis,Oeste de Minas,735,567,692,701,539,539,258,310,276,375,5,7,0.9414965986394558,0.9506172839506173,177350,177350
3160009,SANTO ANTONIO DO AVENTUREIRO,Juiz de Fora,Zona da Mata,57,43,52,55,40,43,2,3,38,49,0,0,0.9122807017543859,0.9302325581395349,15300,15600
3160108,SANTO ANTONIO DO GRAMA,Timóteo,Zona da Mata,130,98,127,129,96,97,54,70,42,57,0,0,0.9769230769230769,0.9795918367346939,31100,31200
3160207,SANTO ANTONIO DO ITAMBE,Diamantina,Metropolitana de Belo Horizonte,211,147,136,138,95,95,28,32,65,101,2,3,0.6445497630331753,0.6462585034013606,37650,37650
3160306,SANTO ANTONIO DO JACINTO,Almenara,Jequitinhonha,521,389,508,517,379,384,143,182,235,325,1,1,0.9750479846449136,0.974293059125964,134300,134800
3160405,SANTO ANTONIO DO MONTE,Divinópolis,Oeste de Minas,107,75,104,113,72,77,19,26,52,77,1,1,0.9719626168224299,0.96,28700,29400
3160454,SANTO ANTONIO DO RETIRO,Montes Claros,Norte de Minas,449,365,437,441,353,355,138,158,215,279,0,0,0.9732739420935412,0.9671232876712329,115300,115500
3160504,SANTO ANTONIO DO RIO ABAIXO,Timóteo,Metropolitana de Belo Horizonte,86,61,86,92,61,64,0,0,60,85,1,1,1,1,25900,26400
3160603,SANTO HIPOLITO,Curvelo,Central Mineira,154,103,151,154,100,101,40,57,60,94,0,0,0.9805194805194806,0.970873786407767,39600,39800
3160702,SANTOS DUMONT,Juiz de Fora,Zona da Mata,866,615,791,802,560,562,230,292,328,497,2,2,0.9133949191685913,0.9105691056910569,208100,208300
3160801,SAO BENTO ABADE,Varginha,Sul/Sudoeste de Minas,45,27,45,46,27,27,10,16,16,28,1,1,1,1,12000,12000
3160900,SAO BRAS DO SUACUI,São João Del Rei,Metropolitana de Belo Horizonte,8,8,8,9,8,9,4,4,4,4,0,0,1,1,2000,2100
3160959,SAO DOMINGOS DAS DORES,Timóteo,Vale do Rio Doce,100,74,87,88,64,65,41,51,23,36,0,0,0.87,0.8648648648648649,21000,21100
3161007,SAO DOMINGOS DO PRATA,Timóteo,Metropolitana de Belo Horizonte,302,206,270,270,183,183,110,165,73,105,0,0,0.8940397350993378,0.8883495145631068,64450,64450
3161056,SAO FELIX DE MINAS,Governador Valadares,Vale do Rio Doce,157,119,137,139,104,104,57,76,47,61,0,0,0.8726114649681529,0.8739495798319328,33500,33500
3161106,SAO FRANCISCO,Montes Claros,Norte de Minas,3968,2530,3559,3604,2229,2252,314,427,1904,3119,11,13,0.8969254032258065,0.8810276679841897,1026100,1028900
3161205,SAO FRANCISCO DE PAULA,Divinópolis,Oeste de Minas,70,51,49,50,38,38,23,28,15,21,0,0,0.7,0.7450980392156863,11900,11900
3161304,SAO FRANCISCO DE SALES,Ituiutaba,Triângulo Mineiro/Alto Paranaíba,32,28,23,24,21,22,10,11,11,12,0,0,0.71875,0.75,5800,5900
3161403,SAO FRANCISCO DO GLORIA,Muriaé,Zona da Mata,147,114,133,136,102,104,10,13,91,119,1,1,0.9047619047619048,0.8947368421052632,38700,38900
3161502,SAO GERALDO,Muriaé,Zona da Mata,179,136,122,126,90,92,58,74,31,47,1,1,0.6815642458100558,0.6617647058823529,29400,29600
3161601,SAO GERALDO DA PIEDADE,Governador Valadares,Vale do Rio Doce,169,136,160,166,128,130,56,67,71,92,1,1,0.9467455621301775,0.9411764705882353,41400,41700
3161650,SAO GERALDO DO BAIXIO,Governador Valadares,Vale do Rio Doce,116,91,97,97,78,78,35,40,43,57,0,0,0.8362068965517241,0.8571428571428571,25100,25100
3161700,SAO GONCALO DO ABAETE,Patos de Minas,Noroeste de Minas,163,119,151,161,111,116,46,52,62,95,3,4,0.9263803680981595,0.9327731092436975,40350,40850
3161809,SAO GONCALO DO PARA,Divinópolis,Oeste de Minas,55,37,46,46,29,29,10,16,19,30,0,0,0.8363636363636363,0.7837837837837838,12200,12200
3161908,SAO GONCALO DO RIO ABAIXO,Timóteo,Metropolitana de Belo Horizonte,101,86,89,94,77,79,53,60,24,29,0,0,0.8811881188118812,0.8953488372093024,20650,20850
3162005,SAO GONCALO DO SAPUCAI,Varginha,Sul/Sudoeste de Minas,224,143,207,214,133,133,81,116,52,91,0,0,0.9241071428571429,0.9300699300699301,50450,50450
3162104,SAO GOTARDO,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,57,38,53,57,34,36,23,36,11,17,0,0,0.9298245614035088,0.8947368421052632,12300,12600
3162203,SAO JOAO BATISTA DO GLORIA,Passos,Sul/Sudoeste de Minas,25,16,22,22,13,13,2,3,11,19,0,0,0.88,0.8125,6300,6300
3162252,SAO JOAO DA LAGOA,Montes Claros,Norte de Minas,223,171,201,202,154,155,31,36,123,165,0,0,0.9013452914798207,0.9005847953216374,56700,56800
3162302,SAO JOAO DA MATA,Varginha,Sul/Sudoeste de Minas,66,53,53,53,43,43,27,30,16,23,0,0,0.803030303030303,0.8113207547169812,12900,12900
3162401,SAO JOAO DA PONTE,Montes Claros,Norte de Minas,1039,791,954,970,715,721,135,162,574,785,6,7,0.9181905678537055,0.9039190897597977,270550,271450
3162450,SAO JOAO DAS MISSOES,Montes Claros,Norte de Minas,1367,737,1331,1364,708,718,170,263,529,1053,9,15,0.9736649597659107,0.9606512890094979,373700,375300
3162500,SAO JOAO DEL REI,São João Del Rei,Campo das Vertentes,903,633,816,832,572,575,238,312,331,501,3,3,0.9036544850498339,0.9036334913112164,213650,214050
3162559,SAO JOAO DO MANHUACU,Muriaé,Zona da Mata,418,321,327,334,242,246,89,108,153,219,0,0,0.7822966507177034,0.7538940809968847,87300,87800
3162575,SAO JOAO DO MANTENINHA,Governador Valadares,Vale do Rio Doce,114,92,86,87,68,69,25,28,43,58,0,0,0.7543859649122807,0.7391304347826086,23000,23100
3162609,SAO JOAO DO ORIENTE,Timóteo,Vale do Rio Doce,366,277,343,354,261,265,52,65,207,276,2,2,0.9371584699453552,0.9422382671480144,96600,97300
3162658,SAO JOAO DO PACUI,Montes Claros,Norte de Minas,287,193,283,286,189,190,23,29,164,252,2,2,0.9860627177700348,0.9792746113989638,82200,82300
3162708,SAO JOAO DO PARAISO,Salinas,Norte de Minas,813,570,802,809,561,563,205,282,354,518,2,2,0.986469864698647,0.9842105263157894,212600,212800
3162807,SAO JOAO EVANGELISTA,Governador Valadares,Vale do Rio Doce,621,425,578,585,390,391,210,305,178,270,2,3,0.9307568438003221,0.9176470588235294,143000,143200
3162906,SAO JOAO NEPOMUCENO,Juiz de Fora,Zona da Mata,357,261,329,335,241,243,117,149,122,177,2,3,0.9215686274509803,0.9233716475095786,83950,84350
3162922,SAO JOAQUIM DE BICAS,Metropolitana,Metropolitana de Belo Horizonte,749,530,650,671,456,464,113,140,338,504,5,6,0.8678237650200267,0.8603773584905661,181250,182250
3162948,SAO JOSE DA BARRA,Passos,Sul/Sudoeste de Minas,60,43,48,48,32,32,10,16,22,32,0,0,0.8,0.7441860465116279,12800,12800
3162955,SAO JOSE DA LAPA,Metropolitana,Metropolitana de Belo Horizonte,368,299,354,362,285,288,116,141,169,213,0,0,0.9619565217391305,0.9531772575250836,91900,92200
3163003,SAO JOSE DA SAFIRA,Governador Valadares,Vale do Rio Doce,283,207,274,277,200,202,33,41,166,232,1,1,0.9681978798586572,0.966183574879227,78200,78400
3163102,SAO JOSE DA VARGINHA,Metropolitana,Metropolitana de Belo Horizonte,18,14,18,18,14,14,4,4,10,14,0,0,1,1,5000,5000
3163201,SAO JOSE DO ALEGRE,Poços de Caldas,Sul/Sudoeste de Minas,67,47,60,65,42,46,11,13,30,45,1,2,0.8955223880597015,0.8936170212765957,16800,17200
3163300,SAO JOSE DO DIVINO,Governador Valadares,Vale do Rio Doce,252,171,249,252,169,170,71,93,98,156,0,0,0.9880952380952381,0.9883040935672515,65400,65500
3163409,SAO JOSE DO GOIABAL,Timóteo,Metropolitana de Belo Horizonte,182,140,170,173,129,131,57,67,72,103,0,0,0.9340659340659341,0.9214285714285714,44250,44450
3163508,SAO JOSE DO JACURI,Governador Valadares,Vale do Rio Doce,440,294,426,429,285,287,94,133,190,292,1,1,0.9681818181818181,0.9693877551020408,114450,114650
3163607,SAO JOSE DO MANTIMENTO,Governador Valadares,Zona da Mata,104,81,103,106,80,82,53,67,27,36,0,0,0.9903846153846154,0.9876543209876543,24200,24400
3163706,SAO LOURENCO,Varginha,Sul/Sudoeste de Minas,309,218,297,307,209,212,108,146,101,151,0,0,0.9611650485436893,0.9587155963302753,74300,74600
3163805,SAO MIGUEL DO ANTA,Muriaé,Zona da Mata,326,262,313,317,251,253,95,116,155,196,1,1,0.9601226993865031,0.9580152671755725,82300,82600
3163904,SAO PEDRO DA UNIAO,Passos,Sul/Sudoeste de Minas,34,27,34,34,27,27,0,0,27,34,0,0,1,1,10200,10200
3164001,SAO PEDRO DOS FERROS,Timóteo,Zona da Mata,109,80,106,107,78,78,14,18,62,86,2,2,0.9724770642201835,0.975,30250,30250
3164100,SAO PEDRO DO SUACUI,Governador Valadares,Vale do Rio Doce,347,250,280,285,197,198,53,71,143,208,1,1,0.8069164265129684,0.788,77100,77200
3164209,SAO ROMAO,Montes Claros,Norte de Minas,604,413,574,581,393,396,99,146,292,426,2,2,0.9503311258278145,0.9515738498789347,157800,158200
3164308,SAO ROQUE DE MINAS,Passos,Oeste de Minas,52,38,45,45,33,33,6,8,27,37,0,0,0.8653846153846154,0.868421052631579,12700,12700
3164407,SAO SEBASTIAO DA BELA VISTA,Varginha,Sul/Sudoeste de Minas,37,26,35,38,24,25,3,4,20,30,1,1,0.9459459459459459,0.9230769230769231,10400,10700
3164431,SAO SEBASTIAO DA VARGEM ALEGRE,Muriaé,Zona da Mata,10,10,5,5,5,5,0,0,5,5,0,0,0.5,0.5,1500,1500
3164472,SAO SEBASTIAO DO ANTA,Timóteo,Vale do Rio Doce,248,212,201,201,174,174,70,78,104,123,0,0,0.8104838709677419,0.8207547169811321,52500,52500
3164506,SAO SEBASTIAO DO MARANHAO,Governador Valadares,Vale do Rio Doce,664,420,579,586,358,358,50,68,307,510,1,1,0.8719879518072289,0.8523809523809524,166600,166600
3164605,SAO SEBASTIAO DO OESTE,Divinópolis,Oeste de Minas,35,32,27,30,24,27,7,8,17,19,0,0,0.7714285714285715,0.75,7300,7600
3164704,SAO SEBASTIAO DO PARAISO,Passos,Sul/Sudoeste de Minas,701,470,679,693,454,457,158,226,292,448,4,5,0.9686162624821684,0.9659574468085106,181550,181850
3164803,SAO SEBASTIAO DO RIO PRETO,Timóteo,Metropolitana de Belo Horizonte,37,26,36,37,25,26,3,4,22,32,0,0,0.972972972972973,0.9615384615384616,10400,10500
3164902,SAO SEBASTIAO DO RIO VERDE,Varginha,Sul/Sudoeste de Minas,4,4,4,4,4,4,4,4,0,0,0,0,1,1,800,800
3165008,SAO TIAGO,São João Del Rei,Campo das Vertentes,86,55,84,87,53,55,9,16,43,67,1,1,0.9767441860465116,0.9636363636363636,23700,23900
3165107,SAO TOMAS DE AQUINO,Passos,Sul/Sudoeste de Minas,138,106,133,136,101,103,42,54,58,78,1,1,0.9637681159420289,0.9528301886792453,34600,34800
3165206,SAO THOME DAS LETRAS,Varginha,Sul/Sudoeste de Minas,138,99,130,133,92,94,18,24,74,106,0,0,0.9420289855072463,0.9292929292929293,36600,36900
3165305,SAO VICENTE DE MINAS,São João Del Rei,Sul/Sudoeste de Minas,118,87,107,108,80,81,57,74,23,33,0,0,0.9067796610169492,0.9195402298850575,24700,24800
3165404,SAPUCAI MIRIM,Poços de Caldas,Sul/Sudoeste de Minas,83,64,77,77,60,60,25,28,35,49,0,0,0.927710843373494,0.9375,20300,20300
3165503,SARDOA,Governador Valadares,Vale do Rio Doce,249,198,208,214,161,163,71,83,90,125,0,0,0.8353413654618473,0.8131313131313131,53550,53750
3165537,SARZEDO,Metropolitana,Metropolitana de Belo Horizonte,308,231,291,303,221,224,88,105,129,182,4,4,0.9448051948051948,0.9567099567099567,77200,77500
3165552,SETUBINHA,Teófilo Otoni,Vale do Mucuri,1665,830,1641,1654,814,819,119,208,693,1431,2,2,0.9855855855855856,0.980722891566265,471700,472400
3165560,SEM-PEIXE,Timóteo,Zona da Mata,77,58,75,75,56,56,31,37,25,38,0,0,0.974025974025974,0.9655172413793104,18800,18800
3165578,SENADOR AMARAL,Poços de Caldas,Sul/Sudoeste de Minas,108,80,72,73,51,51,18,23,33,49,0,0,0.6666666666666666,0.6375,19300,19300
3165602,SENADOR CORTES,Juiz de Fora,Zona da Mata,5,5,3,3,3,3,3,3,0,0,0,0,0.6,0.6,600,600
3165701,SENADOR FIRMINO,Juiz de Fora,Zona da Mata,178,138,149,150,115,115,64,78,50,70,1,1,0.8370786516853933,0.8333333333333334,36950,36950
3165800,SENADOR JOSE BENTO,Poços de Caldas,Sul/Sudoeste de Minas,11,10,6,8,6,6,1,1,4,4,1,1,0.5454545454545454,0.6,1800,1800
3165909,SENADOR MODESTINO GONCALVES,Diamantina,Jequitinhonha,96,77,96,100,77,80,46,52,31,44,0,0,1,1,23600,23900
3166006,SENHORA DE OLIVEIRA,São João Del Rei,Zona da Mata,208,152,208,214,152,156,23,29,128,178,1,1,1,1,59600,60100
3166105,SENHORA DO PORTO,Governador Valadares,Vale do Rio Doce,155,102,150,150,98,98,37,50,61,100,0,0,0.967741935483871,0.9607843137254902,39950,39950
3166204,SENHORA DOS REMEDIOS,São João Del Rei,Campo das Vertentes,746,535,667,682,467,473,104,131,358,531,5,5,0.8941018766756033,0.8728971962616823,187650,188250
3166303,SERICITA,Muriaé,Zona da Mata,268,203,251,252,189,189,69,87,119,163,1,1,0.9365671641791045,0.9310344827586207,66700,66700
3166402,SERITINGA,Juiz de Fora,Sul/Sudoeste de Minas,1,1,1,1,1,1,1,1,0,0,0,0,1,1,200,200
3166501,SERRA AZUL DE MINAS,Diamantina,Metropolitana de Belo Horizonte,396,229,382,386,219,222,30,50,189,332,0,0,0.9646464646464646,0.9563318777292577,109600,110000
3166709,SERRA DOS AIMORES,Teófilo Otoni,Vale do Mucuri,203,130,202,204,129,130,34,42,95,160,0,0,0.9950738916256158,0.9923076923076923,56400,56500
3166808,SERRA DO SALITRE,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,486,371,449,465,342,346,162,206,175,237,5,6,0.9238683127572016,0.921832884097035,114800,115200
3166907,SERRANIA,Poços de Caldas,Sul/Sudoeste de Minas,175,134,167,169,127,127,62,81,64,84,1,2,0.9542857142857143,0.9477611940298507,42100,42100
3166956,SERRANOPOLIS DE MINAS,Montes Claros,Norte de Minas,225,167,200,206,142,147,19,21,123,179,0,0,0.8888888888888888,0.8502994011976048,57900,58500
3167004,SERRANOS,Juiz de Fora,Sul/Sudoeste de Minas,31,29,27,27,25,25,12,12,13,15,0,0,0.8709677419354839,0.8620689655172413,6900,6900
3167103,SERRO,Diamantina,Metropolitana de Belo Horizonte,807,445,716,721,387,388,125,223,261,492,1,1,0.8872366790582404,0.8696629213483146,192600,192700
3167202,SETE LAGOAS,Metropolitana,Metropolitana de Belo Horizonte,2135,1518,2082,2162,1480,1504,489,632,972,1423,19,27,0.9751756440281031,0.9749670619235836,563800,567000
3167301,SILVEIRANIA,Juiz de Fora,Zona da Mata,43,37,43,45,37,37,11,11,24,30,2,2,1,1,12000,12000
3167400,SILVIANOPOLIS,Varginha,Sul/Sudoeste de Minas,164,120,121,123,86,87,36,46,50,75,0,0,0.7378048780487805,0.7166666666666667,31700,31800
3167509,SIMAO PEREIRA,Juiz de Fora,Zona da Mata,13,9,7,7,5,5,3,5,2,2,0,0,0.5384615384615384,0.5555555555555556,1600,1600
3167608,SIMONESIA,Timóteo,Zona da Mata,264,181,172,173,115,115,63,90,52,82,0,0,0.6515151515151515,0.6353591160220995,42600,42600
3167707,SOBRALIA,Governador Valadares,Vale do Rio Doce,260,210,255,267,205,211,69,77,135,177,1,1,0.9807692307692307,0.9761904761904762,68900,69900
3167806,SOLEDADE DE MINAS,Varginha,Sul/Sudoeste de Minas,16,14,15,15,13,13,9,10,4,5,0,0,0.9375,0.9285714285714286,3500,3500
3167905,TABULEIRO,Juiz de Fora,Zona da Mata,39,31,34,34,26,26,6,7,20,27,0,0,0.8717948717948718,0.8387096774193549,9500,9500
3168002,TAIOBEIRAS,Salinas,Norte de Minas,1159,833,1062,1074,758,763,127,153,628,906,3,3,0.9163071613459879,0.9099639855942377,303550,304150
3168051,TAPARUBA,Governador Valadares,Vale do Rio Doce,150,126,110,111,94,95,37,43,57,67,0,0,0.7333333333333333,0.746031746031746,28700,28800
3168101,TAPIRA,Uberaba,Triângulo Mineiro/Alto Paranaíba,11,11,9,10,9,10,4,4,5,5,0,0,0.8181818181818182,0.8181818181818182,2300,2400
3168200,TAPIRAI,Divinópolis,Oeste de Minas,3,2,3,3,2,2,0,0,2,3,0,0,1,1,900,900
3168309,TAQUARACU DE MINAS,Metropolitana,Metropolitana de Belo Horizonte,62,55,55,58,48,50,14,15,34,40,0,0,0.8870967741935484,0.8727272727272727,15000,15200
3168408,TARUMIRIM,Governador Valadares,Vale do Rio Doce,625,442,604,620,427,433,223,298,200,302,4,4,0.9664,0.9660633484162896,151900,152600
3168507,TEIXEIRAS,Muriaé,Zona da Mata,226,163,211,214,152,154,6,8,146,203,0,0,0.9336283185840708,0.9325153374233128,62500,62800
3168606,TEOFILO OTONI,Teófilo Otoni,Vale do Mucuri,3440,2091,3087,3128,1868,1877,617,903,1247,2179,4,5,0.8973837209302326,0.893352462936394,834450,835850
3168705,TIMOTEO,Timóteo,Vale do Rio Doce,724,541,690,718,512,524,204,266,301,415,7,9,0.9530386740331491,0.9463955637707948,181050,182550
3168804,TIRADENTES,São João Del Rei,Campo das Vertentes,120,89,106,108,77,77,48,67,28,38,1,1,0.8833333333333333,0.8651685393258427,25200,25200
3168903,TIROS,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,95,72,75,75,54,54,28,37,26,38,0,0,0.7894736842105263,0.75,18800,18800
3169000,TOCANTINS,Juiz de Fora,Zona da Mata,217,159,158,163,109,111,51,69,57,88,1,1,0.728110599078341,0.6855345911949685,40600,40900
3169059,TOCOS DO MOJI,Poços de Caldas,Sul/Sudoeste de Minas,28,24,20,20,17,17,16,19,1,1,0,0,0.7142857142857143,0.7083333333333334,3700,3700
3169109,TOLEDO,Poços de Caldas,Sul/Sudoeste de Minas,14,11,4,4,4,4,2,2,2,2,0,0,0.2857142857142857,0.36363636363636365,1000,1000
3169208,TOMBOS,Muriaé,Zona da Mata,175,130,160,161,120,121,52,66,68,94,0,0,0.9142857142857143,0.9230769230769231,41400,41500
3169307,TRES CORACOES,Varginha,Sul/Sudoeste de Minas,504,354,486,500,339,339,166,227,170,252,3,7,0.9642857142857143,0.9576271186440678,123400,123400
3169356,TRES MARIAS,Curvelo,Central Mineira,236,188,225,240,178,188,40,46,134,174,4,5,0.9533898305084746,0.9468085106382979,63300,64400
3169406,TRES PONTAS,Varginha,Sul/Sudoeste de Minas,799,603,761,793,570,584,172,208,388,543,10,10,0.9524405506883604,0.945273631840796,208700,210400
3169505,TUMIRITINGA,Governador Valadares,Vale do Rio Doce,401,292,387,395,280,283,118,155,160,230,2,2,0.9650872817955112,0.958904109589041,100900,101200
3169604,TUPACIGUARA,Uberlândia,Triângulo Mineiro/Alto Paranaíba,847,596,810,827,569,574,264,349,304,459,1,2,0.9563164108618654,0.9546979865771812,208100,208700
3169703,TURMALINA,Araçuaí,Jequitinhonha,683,483,668,674,475,476,113,148,359,517,3,3,0.9780380673499268,0.9834368530020704,186000,186100
3169802,TURVOLANDIA,Varginha,Sul/Sudoeste de Minas,29,23,27,27,21,21,16,22,5,5,0,0,0.9310344827586207,0.9130434782608695,5900,5900
3169901,UBA,Juiz de Fora,Zona da Mata,441,286,394,400,259,261,115,165,143,228,1,1,0.8934240362811792,0.9055944055944056,101900,102100
3170008,UBAI,Montes Claros,Norte de Minas,1094,722,970,981,628,635,60,81,567,888,1,1,0.886654478976234,0.8698060941828255,282500,283300
3170057,UBAPORANGA,Timóteo,Vale do Rio Doce,561,395,498,511,343,350,91,117,250,378,2,3,0.8877005347593583,0.8683544303797468,137900,138800
3170107,UBERABA,Uberaba,Triângulo Mineiro/Alto Paranaíba,1278,906,1220,1267,864,878,354,476,502,728,8,16,0.9546165884194053,0.9536423841059603,319200,320900
3170206,UBERLANDIA,Uberlândia,Triângulo Mineiro/Alto Paranaíba,2405,1708,2243,2321,1574,1595,640,871,918,1348,16,24,0.9326403326403326,0.9215456674473068,587400,590000
3170305,UMBURATIBA,Teófilo Otoni,Vale do Mucuri,144,108,142,148,106,109,19,20,87,122,0,0,0.9861111111111112,0.9814814814814815,40600,41200
3170404,UNAI,Paracatu,Noroeste de Minas,909,653,780,809,550,561,176,218,370,556,4,6,0.858085808580858,0.8422664624808576,212650,214350
3170438,UNIAO DE MINAS,Ituiutaba,Triângulo Mineiro/Alto Paranaíba,132,103,125,132,98,103,10,13,87,111,1,1,0.946969696969697,0.9514563106796117,36300,36900
3170479,URUANA DE MINAS,Paracatu,Noroeste de Minas,43,40,28,31,25,28,9,10,16,18,0,0,0.6511627906976745,0.625,7400,7700
3170503,URUCANIA,Timóteo,Zona da Mata,135,96,116,117,83,83,37,48,46,68,0,0,0.8592592592592593,0.8645833333333334,30000,30000
3170529,URUCUIA,Montes Claros,Norte de Minas,211,174,203,204,167,168,110,127,57,76,0,0,0.9620853080568721,0.9597701149425287,48200,48300
3170578,VARGEM ALEGRE,Timóteo,Vale do Rio Doce,202,160,199,212,157,164,44,49,109,146,4,4,0.9851485148514851,0.98125,55300,56000
3170602,VARGEM BONITA,Passos,Oeste de Minas,46,35,39,42,31,33,9,13,22,26,0,0,0.8478260869565217,0.8857142857142857,10400,10600
3170651,VARGEM GRANDE DO RIO PARDO,Salinas,Norte de Minas,224,162,213,216,151,152,20,28,131,185,0,0,0.9508928571428571,0.9320987654320988,61100,61300
3170701,VARGINHA,Varginha,Sul/Sudoeste de Minas,529,347,508,520,330,332,142,207,186,299,2,2,0.9603024574669187,0.9510086455331412,131950,132150
3170750,VARJAO DE MINAS,Patos de Minas,Noroeste de Minas,69,54,63,69,49,50,24,30,24,32,1,1,0.9130434782608695,0.9074074074074074,15950,16050
3170800,VARZEA DA PALMA,Montes Claros,Norte de Minas,494,365,470,481,346,348,161,204,184,265,1,1,0.951417004048583,0.947945205479452,120700,120900
3170909,VARZELANDIA,Montes Claros,Norte de Minas,1712,1048,1585,1612,950,961,140,198,805,1380,5,7,0.9258177570093458,0.9064885496183206,456000,457600
3171006,VAZANTE,Paracatu,Noroeste de Minas,279,199,249,253,173,173,91,125,82,124,0,0,0.8924731182795699,0.8693467336683417,62200,62200
3171030,VERDELANDIA,Montes Claros,Norte de Minas,625,412,514,540,329,341,19,23,299,479,11,12,0.8224,0.7985436893203883,153100,154500
3171071,VEREDINHA,Diamantina,Jequitinhonha,213,166,196,207,151,158,19,22,129,171,3,3,0.92018779342723,0.9096385542168675,56900,57700
3171105,VERISSIMO,Uberaba,Triângulo Mineiro/Alto Paranaíba,37,27,36,36,26,26,9,12,17,24,0,0,0.972972972972973,0.9629629629629629,9600,9600
3171154,VERMELHO NOVO,Timóteo,Zona da Mata,241,189,186,189,142,142,84,107,58,79,0,0,0.7717842323651453,0.7513227513227513,44800,44800
3171204,VESPASIANO,Metropolitana,Metropolitana de Belo Horizonte,1248,970,1207,1271,938,957,410,500,518,689,10,18,0.9671474358974359,0.9670103092783505,313750,315950
3171303,VICOSA,Muriaé,Zona da Mata,575,438,502,519,377,387,170,204,205,294,2,4,0.8730434782608696,0.860730593607306,131200,132300
3171402,VIEIRAS,Muriaé,Zona da Mata,18,18,7,7,7,7,5,5,2,2,0,0,0.3888888888888889,0.3888888888888889,1500,1500
3171501,MATHIAS LOBATO,Governador Valadares,Vale do Rio Doce,250,174,227,234,158,160,52,78,102,144,4,5,0.908,0.9080459770114943,60900,61200
3171600,VIRGEM DA LAPA,Araçuaí,Jequitinhonha,611,429,506,515,352,354,40,54,309,448,3,4,0.8281505728314239,0.8205128205128205,146400,146700
3171709,VIRGINIA,Varginha,Sul/Sudoeste de Minas,151,114,122,122,91,91,57,74,34,48,0,0,0.8079470198675497,0.7982456140350878,29200,29200
3171808,VIRGINOPOLIS,Governador Valadares,Vale do Rio Doce,127,90,91,92,62,63,9,11,53,80,0,0,0.7165354330708661,0.6888888888888889,26200,26300
3171907,VIRGOLANDIA,Governador Valadares,Vale do Rio Doce,233,174,232,234,173,173,46,52,127,180,0,0,0.9957081545064378,0.9942528735632183,64400,64400
3172004,VISCONDE DO RIO BRANCO,Muriaé,Zona da Mata,262,198,206,211,157,159,58,70,97,132,2,4,0.7862595419847328,0.7929292929292929,54850,55050
3172103,VOLTA GRANDE,Muriaé,Zona da Mata,81,76,78,78,73,73,40,41,33,37,0,0,0.9629629629629629,0.9605263157894737,19300,19300
3172202,WENCESLAU BRAZ,Poços de Caldas,Sul/Sudoeste de Minas,42,29,35,35,24,24,11,16,13,19,0,0,0.8333333333333334,0.8275862068965517,8900,8900
NA,SAO JOAO NEPOMUCENO MG,NA,NA,0,0,0,2,0,1,0,0,0,0,0,0,NaN,NaN,0,600
