Código IBGE,Município,Diretoria Regional,Mesorregião,Número de alunos extremamente pobres beneficiários atualmente,Número de famílias extremamente pobres beneficiárias atualmente,Número de alunos extremamente pobres da lista atual que receberam o benefício,"Número de alunos extremamente pobres que receberam o benefício, incluindo os alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício,"Número de famílias extremamente pobres que receberam o benefício, incluindo as famílias que têm alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício parcialmente,Número de alunos extremamente pobres da lista atual que receberam o benefício parcialmente,Número de famílias extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de alunos extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de famílias extremamente pobres da lista atual que receberam mais que o valor do benefício,Número de alunos extremamente pobres da lista atual que receberam mais que o valor do benefício,Percentual de alunos extremamente pobres da lista atual que receberam o benefício,Percentual de famílias extremamente pobres da lista atual que receberam o benefício,Total de dinheiro repassado aos beneficiários da lista atual de extremamente pobres,"Total de dinheiro repassado aos beneficiários extremamente pobres, incluindo os bloqueados"
3151909,POCRANE,Governador Valadares,Vale do Rio Doce,569,412,558,567,403,406,89,106,310,447,4,5,0.9806678383128296,0.9781553398058253,157200,157500
3152006,POMPEU,Divinópolis,Central Mineira,289,201,251,259,173,174,101,150,71,100,1,1,0.8685121107266436,0.8606965174129353,60400,60500
3152105,PONTE NOVA,Muriaé,Zona da Mata,853,581,780,799,526,534,189,254,332,516,5,10,0.9144196951934349,0.9053356282271945,209200,210200
3152131,PONTO CHIQUE,Montes Claros,Norte de Minas,269,193,259,264,185,187,32,47,153,212,0,0,0.9628252788104089,0.9585492227979274,73000,73300
3152170,PONTO DOS VOLANTES,Araçuaí,Jequitinhonha,332,273,273,282,223,228,36,40,184,230,3,3,0.822289156626506,0.8168498168498168,78200,78800
3152204,PORTEIRINHA,Montes Claros,Norte de Minas,1398,984,1220,1235,840,845,160,204,676,1011,4,5,0.8726752503576538,0.8536585365853658,346100,346900
3152303,PORTO FIRME,Muriaé,Zona da Mata,923,672,747,760,528,533,90,120,436,625,2,2,0.80931744312026,0.7857142857142857,212300,212900
3152402,POTE,Teófilo Otoni,Vale do Mucuri,613,372,529,530,320,320,69,112,250,416,1,1,0.8629690048939641,0.8602150537634409,146900,146900
3152501,POUSO ALEGRE,Poços de Caldas,Sul/Sudoeste de Minas,815,577,776,802,547,555,227,311,316,459,4,6,0.9521472392638037,0.9480069324090121,201650,203050
3152600,POUSO ALTO,Varginha,Sul/Sudoeste de Minas,17,9,17,18,9,9,8,14,1,3,0,0,1,1,3700,3700
3152709,PRADOS,São João Del Rei,Campo das Vertentes,47,37,43,43,34,34,23,27,11,16,0,0,0.9148936170212766,0.918918918918919,10200,10200
3152808,PRATA,Uberlândia,Triângulo Mineiro/Alto Paranaíba,73,52,63,65,46,46,20,25,26,38,0,0,0.863013698630137,0.8846153846153846,16400,16400
3152907,PRATAPOLIS,Passos,Sul/Sudoeste de Minas,100,66,100,104,66,68,3,3,61,95,2,2,1,1,29900,30100
3153004,PRATINHA,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,82,56,82,83,56,57,33,47,23,35,0,0,1,1,19900,20000
3153103,PRESIDENTE BERNARDES,Muriaé,Zona da Mata,320,208,316,323,205,210,47,59,158,257,0,0,0.9875,0.9855769230769231,88700,89400
3153202,PRESIDENTE JUSCELINO,Curvelo,Central Mineira,73,54,66,67,47,48,13,19,34,47,0,0,0.9041095890410958,0.8703703703703703,17800,17900
3153301,PRESIDENTE KUBITSCHEK,Diamantina,Jequitinhonha,75,53,73,73,51,51,1,1,50,72,0,0,0.9733333333333334,0.9622641509433962,21800,21800
3153400,PRESIDENTE OLEGARIO,Patos de Minas,Noroeste de Minas,394,319,357,374,290,297,155,187,135,170,0,0,0.9060913705583756,0.9090909090909091,88400,89400
3153509,ALTO JEQUITIBA,Muriaé,Zona da Mata,307,229,220,233,161,166,74,100,85,118,2,2,0.7166123778501629,0.7030567685589519,56150,57050
3153608,PRUDENTE DE MORAIS,Metropolitana,Metropolitana de Belo Horizonte,196,133,192,194,129,131,28,34,101,158,0,0,0.9795918367346939,0.9699248120300752,54200,54400
3153707,QUARTEL GERAL,Divinópolis,Central Mineira,14,13,11,11,10,10,8,8,2,3,0,0,0.7857142857142857,0.7692307692307693,2500,2500
3153806,QUELUZITO,São João Del Rei,Metropolitana de Belo Horizonte,7,4,7,7,4,4,3,6,1,1,0,0,1,1,1500,1500
3153905,RAPOSOS,Metropolitana,Metropolitana de Belo Horizonte,118,87,116,117,85,85,46,55,39,61,0,0,0.9830508474576272,0.9770114942528736,29300,29300
3154002,RAUL SOARES,Timóteo,Zona da Mata,592,439,514,521,378,380,161,200,213,306,4,8,0.8682432432432432,0.8610478359908884,134400,134600
3154101,RECREIO,Muriaé,Zona da Mata,37,25,32,32,20,20,12,18,8,14,0,0,0.8648648648648649,0.8,7800,7800
3154150,REDUTO,Muriaé,Zona da Mata,219,152,167,172,114,115,65,91,48,75,1,1,0.7625570776255708,0.75,40850,40950
3154200,RESENDE COSTA,São João Del Rei,Campo das Vertentes,60,42,52,53,36,36,19,29,17,23,0,0,0.8666666666666667,0.8571428571428571,12700,12700
3154309,RESPLENDOR,Governador Valadares,Vale do Rio Doce,165,138,140,142,117,119,66,76,51,64,0,0,0.8484848484848485,0.8478260869565217,34400,34600
3154408,RESSAQUINHA,São João Del Rei,Campo das Vertentes,38,36,32,33,30,31,12,13,18,19,0,0,0.8421052631578947,0.8333333333333334,8300,8400
3154457,RIACHINHO,Paracatu,Norte de Minas,380,268,278,281,195,197,53,71,142,207,0,0,0.7315789473684211,0.7276119402985075,76300,76500
3154507,RIACHO DOS MACHADOS,Montes Claros,Norte de Minas,215,155,172,175,118,118,38,48,79,123,1,1,0.8,0.7612903225806451,46900,46900
3154606,RIBEIRAO DAS NEVES,Metropolitana,Metropolitana de Belo Horizonte,7073,4761,6903,7144,4640,4723,1400,1938,3166,4864,74,101,0.9759649370846882,0.9745851711825246,1884250,1894850
3154705,RIBEIRAO VERMELHO,Varginha,Campo das Vertentes,91,62,87,88,59,59,23,29,36,58,0,0,0.9560439560439561,0.9516129032258065,23200,23200
3154804,RIO ACIMA,Metropolitana,Metropolitana de Belo Horizonte,46,36,36,36,30,30,16,18,14,18,0,0,0.782608695652174,0.8333333333333334,9000,9000
3154903,RIO CASCA,Timóteo,Zona da Mata,123,97,108,108,86,86,39,47,46,60,1,1,0.8780487804878049,0.8865979381443299,27900,27900
3155009,RIO DOCE,Timóteo,Zona da Mata,32,24,30,33,23,24,4,5,18,24,1,1,0.9375,0.9583333333333334,8600,8800
3155108,RIO DO PRADO,Almenara,Jequitinhonha,332,237,329,340,235,240,35,43,199,285,1,1,0.9909638554216867,0.9915611814345991,94600,95200
3155207,RIO ESPERA,São João Del Rei,Zona da Mata,308,219,267,267,187,187,36,43,151,224,0,0,0.8668831168831169,0.8538812785388128,75750,75750
3155306,RIO MANSO,Metropolitana,Metropolitana de Belo Horizonte,85,67,75,80,59,60,17,21,41,53,1,1,0.8823529411764706,0.8805970149253731,20500,20800
3155405,RIO NOVO,Juiz de Fora,Zona da Mata,193,134,168,171,114,115,19,30,95,138,0,0,0.8704663212435233,0.8507462686567164,47400,47600
3155504,RIO PARANAIBA,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,83,68,76,78,63,65,31,36,32,40,0,0,0.9156626506024096,0.9264705882352942,19200,19400
3155603,RIO PARDO DE MINAS,Salinas,Norte de Minas,1532,1184,1431,1474,1098,1119,237,294,856,1131,5,6,0.9340731070496083,0.9273648648648649,400400,403100
3155702,RIO PIRACICABA,Timóteo,Metropolitana de Belo Horizonte,395,293,370,377,270,273,134,177,134,190,2,3,0.9367088607594937,0.9215017064846417,93450,93850
3155801,RIO POMBA,Juiz de Fora,Zona da Mata,266,186,233,240,161,163,66,88,94,143,1,2,0.8759398496240601,0.8655913978494624,61200,61400
3155900,RIO PRETO,Juiz de Fora,Zona da Mata,11,10,7,7,6,6,3,3,3,4,0,0,0.6363636363636364,0.6,1800,1800
3156007,RIO VERMELHO,Diamantina,Metropolitana de Belo Horizonte,601,393,584,585,380,380,131,177,248,406,1,1,0.9717138103161398,0.9669211195928753,157600,157600
3156106,RITAPOLIS,São João Del Rei,Campo das Vertentes,64,55,61,67,53,56,21,23,31,37,1,1,0.953125,0.9636363636363636,16100,16500
3156205,ROCHEDO DE MINAS,Juiz de Fora,Zona da Mata,33,30,33,34,30,31,11,11,19,22,0,0,1,1,8800,8900
3156304,RODEIRO,Juiz de Fora,Zona da Mata,92,63,62,66,43,45,18,26,24,35,1,1,0.6739130434782609,0.6825396825396826,16100,16300
3156403,ROMARIA,Uberlândia,Triângulo Mineiro/Alto Paranaíba,53,39,43,45,32,32,16,21,16,22,0,0,0.8113207547169812,0.8205128205128205,10800,10800
3156452,ROSARIO DA LIMEIRA,Muriaé,Zona da Mata,24,23,18,18,17,17,6,6,11,12,0,0,0.75,0.7391304347826086,4800,4800
3156502,RUBELITA,Salinas,Norte de Minas,601,405,600,613,404,412,67,75,334,522,3,3,0.9983361064891847,0.9975308641975309,172900,173800
3156601,RUBIM,Almenara,Jequitinhonha,209,181,187,191,161,164,49,52,112,135,0,0,0.8947368421052632,0.8895027624309392,50900,51200
3156700,SABARA,Metropolitana,Metropolitana de Belo Horizonte,1252,919,1130,1162,827,838,305,399,516,723,6,8,0.902555910543131,0.8998911860718172,299500,300900
3156809,SABINOPOLIS,Governador Valadares,Vale do Rio Doce,654,461,631,643,442,445,190,262,249,366,3,3,0.9648318042813455,0.9587852494577006,163500,163900
3156908,SACRAMENTO,Uberaba,Triângulo Mineiro/Alto Paranaíba,259,179,209,219,145,149,62,89,82,119,1,1,0.806949806949807,0.8100558659217877,53900,54400
3157005,SALINAS,Salinas,Norte de Minas,1337,911,1217,1236,821,827,143,187,671,1021,7,9,0.9102468212415856,0.9012074643249177,347050,347750
3157104,SALTO DA DIVISA,Almenara,Jequitinhonha,349,247,331,338,232,232,73,97,155,228,4,6,0.9484240687679083,0.9392712550607287,90400,90400
3157203,SANTA BARBARA,Metropolitana,Metropolitana de Belo Horizonte,490,405,437,458,359,370,183,208,175,228,1,1,0.8918367346938776,0.8864197530864197,110400,111600
3157252,SANTA BARBARA DO LESTE,Timóteo,Vale do Rio Doce,361,279,266,276,198,204,60,80,137,184,1,2,0.7368421052631579,0.7096774193548387,71850,72550
3157278,SANTA BARBARA DO MONTE VERDE,Juiz de Fora,Zona da Mata,3,3,2,2,2,2,1,1,1,1,0,0,0.6666666666666666,0.6666666666666666,500,500
3157302,SANTA BARBARA DO TUGURIO,São João Del Rei,Campo das Vertentes,32,27,20,20,18,18,5,5,13,15,0,0,0.625,0.6666666666666666,5500,5500
3157336,SANTA CRUZ DE MINAS,São João Del Rei,Campo das Vertentes,39,36,36,37,33,33,24,25,9,11,0,0,0.9230769230769231,0.9166666666666666,8300,8300
3157377,SANTA CRUZ DE SALINAS,Salinas,Norte de Minas,294,206,275,276,189,189,9,11,180,264,0,0,0.935374149659864,0.9174757281553398,81400,81400
